0--18,0--20,0--23,0--28,1--5,1--7,1--16,1--22,2--6,2--13,2--19,2--24,3--6,3--7,3--13,3--14,4--11,4--25,4--27,4--28,5--7,5--8,5--26,6--16,6--22,7--9,8--9,8--12,8--22,9--15,9--29,10--14,10--17,10--19,10--24,11--16,11--27,11--29,12--18,12--21,12--23,13--15,13--21,14--25,14--28,15--19,15--23,16--27,17--18,17--24,17--25,18--23,19--26,20--21,20--22,20--25,21--29,24--29,26--27,26--28
0--1,0--11,0--14,0--20,1--3,1--4,1--22,2--12,2--19,2--24,2--29,3--11,3--14,3--23,4--5,4--11,4--26,5--13,5--17,5--25,6--9,6--14,6--21,6--27,7--10,7--17,7--23,7--29,8--15,8--16,8--28,8--29,9--16,9--18,9--19,10--15,10--21,10--27,11--16,12--13,12--26,12--28,13--24,13--25,14--23,15--20,15--29,16--18,17--18,17--22,18--20,19--24,19--25,20--26,21--22,21--25,22--27,23--27,24--28,26--28
0--4,0--14,0--26,0--27,1--5,1--7,1--21,1--26,2--3,2--8,2--9,2--24,3--6,3--15,3--29,4--11,4--20,4--23,5--17,5--18,5--21,6--14,6--23,6--29,7--13,7--22,7--26,8--10,8--12,8--28,9--12,9--19,9--28,10--11,10--17,10--27,11--13,11--25,12--18,12--25,13--22,13--29,14--15,14--22,15--16,15--23,16--20,16--24,16--27,17--18,17--28,18--25,19--20,19--24,19--25,20--27,21--23,21--28,22--26,24--29
0--5,0--11,0--14,0--18,1--2,1--4,1--8,1--24,2--13,2--15,2--28,3--4,3--5,3--20,3--29,4--8,4--25,5--14,5--29,6--8,6--12,6--20,6--29,7--9,7--11,7--17,7--27,8--13,9--11,9--18,9--21,10--13,10--16,10--21,10--24,11--27,12--14,12--15,12--24,13--19,14--26,15--16,15--25,16--17,16--19,17--18,17--28,18--19,19--22,20--23,20--26,21--22,21--23,22--27,22--28,23--25,23--28,24--27,25--26,26--29
0--1,0--14,0--16,0--25,1--8,1--22,1--28,2--5,2--8,2--27,2--29,3--8,3--14,3--19,3--26,4--12,4--17,4--23,4--27,5--17,5--24,5--26,6--9,6--11,6--15,6--24,7--14,7--25,7--28,7--29,8--13,9--10,9--18,9--24,10--13,10--19,10--23,11--12,11--13,11--29,12--16,12--17,13--20,14--16,15--20,15--26,15--27,16--18,17--22,18--23,18--27,19--21,19--26,20--21,20--25,21--22,21--28,22--25,23--29,24--28
0--6,0--13,0--16,0--27,1--13,1--15,1--23,1--24,2--3,2--9,2--11,2--23,3--7,3--21,3--28,4--14,4--26,4--27,4--28,5--10,5--19,5--22,5--23,6--10,6--28,6--29,7--16,7--25,7--29,8--11,8--14,8--16,8--24,9--10,9--18,9--22,10--14,11--12,11--26,12--22,12--25,12--26,13--20,13--25,14--15,15--19,15--24,16--19,17--20,17--21,17--26,17--29,18--24,18--27,18--28,19--29,20--21,20--22,21--27,23--25
0--5,0--11,0--12,0--18,1--13,1--14,1--19,1--21,2--3,2--20,2--27,2--28,3--15,3--19,3--29,4--13,4--18,4--24,4--25,5--6,5--19,5--28,6--13,6--25,6--26,7--8,7--22,7--24,7--28,8--9,8--11,8--15,9--13,9--19,9--22,10--15,10--18,10--20,10--26,11--16,11--26,12--15,12--17,12--27,14--24,14--25,14--26,16--17,16--23,16--29,17--22,17--25,18--21,20--24,20--27,21--23,21--27,22--23,23--29,28--29
0--3,0--19,0--23,0--26,1--4,1--10,1--20,1--27,2--3,2--15,2--20,2--25,3--15,3--28,4--8,4--9,4--21,5--8,5--12,5--19,5--23,6--9,6--14,6--16,6--17,7--22,7--23,7--24,7--29,8--11,8--16,9--13,9--27,10--17,10--22,10--29,11--16,11--25,11--26,12--17,12--22,12--28,13--20,13--26,13--27,14--19,14--21,14--23,15--24,15--26,16--21,17--18,18--21,18--24,18--28,19--22,20--27,24--25,25--29,28--29
0--7,0--21,0--22,0--23,1--3,1--11,1--13,1--27,2--6,2--17,2--21,2--27,3--14,3--20,3--26,4--5,4--18,4--19,4--29,5--8,5--10,5--14,6--11,6--14,6--20,7--11,7--15,7--28,8--12,8--15,8--17,9--11,9--13,9--21,9--25,10--12,10--18,10--21,12--16,12--22,13--24,13--27,14--27,15--17,15--28,16--18,16--23,16--26,17--28,18--24,19--20,19--22,19--26,20--29,22--23,23--24,24--29,25--26,25--28,25--29
0--1,0--4,0--7,0--12,1--4,1--13,1--23,2--16,2--17,2--26,2--28,3--5,3--6,3--21,3--22,4--8,4--20,5--8,5--16,5--18,6--10,6--22,6--28,7--9,7--25,7--29,8--24,8--25,9--10,9--11,9--18,10--11,10--14,11--12,11--19,12--21,12--24,13--14,13--24,13--25,14--15,14--26,15--16,15--20,15--27,16--19,17--18,17--25,17--29,18--27,19--21,19--29,20--21,20--26,22--23,22--29,23--26,23--28,24--27,27--28
