0--6,0--12,0--19,1--28,1--40,1--41,2--8,2--10,2--31,3--39,3--49,3--50,4--9,4--16,4--40,5--13,5--16,5--18,6--20,6--36,7--17,7--52,7--55,8--28,8--36,9--43,9--44,10--33,10--48,11--12,11--16,11--21,12--27,13--32,13--43,14--22,14--34,14--45,15--24,15--40,15--49,17--29,17--54,18--25,18--55,19--38,19--46,20--42,20--45,21--25,21--45,22--30,22--37,23--44,23--52,23--54,24--35,24--38,25--27,26--36,26--51,26--53,27--46,28--42,29--41,29--54,30--43,30--53,31--37,31--50,32--39,32--47,33--48,33--52,34--44,34--48,35--47,35--51,37--47,38--53,39--41,42--49,46--55,50--51
0--14,0--33,0--37,1--21,1--47,1--48,2--11,2--47,2--48,3--6,3--26,3--35,4--34,4--53,4--54,5--13,5--18,5--35,6--20,6--42,7--36,7--39,7--51,8--9,8--15,8--45,9--38,9--54,10--24,10--42,10--53,11--15,11--37,12--14,12--22,12--33,13--30,13--50,14--46,15--49,16--19,16--35,16--50,17--19,17--37,17--51,18--39,18--45,19--26,20--25,20--33,21--36,21--40,22--23,22--46,23--30,23--43,24--28,24--31,25--34,25--43,26--55,27--31,27--49,27--55,28--32,28--44,29--38,29--41,29--49,30--43,31--34,32--50,32--52,36--39,38--46,40--47,40--48,41--51,41--53,42--45,44--52,44--55,52--54
0--7,0--32,0--52,1--28,1--29,1--49,2--4,2--16,2--23,3--8,3--21,3--30,4--37,4--45,5--18,5--33,5--46,6--14,6--27,6--48,7--11,7--31,8--26,8--46,9--25,9--28,9--44,10--14,10--26,10--50,11--24,11--49,12--33,12--35,12--42,13--31,13--45,13--53,14--34,15--21,15--29,15--34,16--23,16--55,17--19,17--27,17--47,18--20,18--46,19--20,19--48,20--31,21--53,22--36,22--39,22--49,23--44,24--40,24--41,25--34,25--51,26--47,27--48,28--30,29--32,30--35,32--39,33--41,35--36,36--42,37--38,37--55,38--50,38--54,39--52,40--43,40--50,41--52,42--54,43--51,43--54,44--51,45--47,53--55
0--2,0--14,0--46,1--6,1--29,1--35,2--37,2--45,3--20,3--21,3--51,4--7,4--13,4--30,5--37,5--48,5--49,6--30,6--49,7--27,7--53,8--22,8--24,8--28,9--37,9--41,9--50,10--11,10--33,10--40,11--17,11--31,12--22,12--23,12--53,13--27,13--38,14--25,14--32,15--20,15--21,15--25,16--18,16--53,16--54,17--42,17--43,18--25,18--39,19--21,19--33,19--48,20--51,22--29,23--42,23--51,24--26,24--52,26--27,26--43,28--34,28--55,29--54,30--50,31--34,31--48,32--46,32--47,33--39,34--45,35--38,35--46,36--40,36--42,36--44,38--43,39--54,40--41,41--47,44--50,44--55,45--52,47--52,49--55
0--30,0--33,0--35,1--28,1--48,1--49,2--25,2--33,2--44,3--14,3--25,3--43,4--5,4--22,4--41,5--35,5--54,6--11,6--21,6--47,7--14,7--20,7--43,8--17,8--32,8--38,9--16,9--35,9--42,10--22,10--37,10--39,11--16,11--19,12--13,12--19,12--46,13--17,13--33,14--15,15--18,15--49,16--26,17--27,18--23,18--38,19--55,20--22,20--45,21--30,21--39,23--26,23--45,24--43,24--49,24--50,25--41,26--34,27--28,27--51,28--46,29--30,29--37,29--40,31--34,31--48,31--53,32--36,32--39,34--44,36--53,36--55,37--55,38--52,40--41,40--51,42--48,42--50,44--51,45--52,46--54,47--50,47--52,53--54
0--26,0--31,0--48,1--11,1--29,1--50,2--9,2--18,2--26,3--30,3--33,3--34,4--13,4--24,4--27,5--12,5--21,5--33,6--18,6--41,6--52,7--10,7--28,7--52,8--16,8--25,8--55,9--45,9--54,10--14,10--47,11--31,11--51,12--29,12--49,13--42,13--43,14--39,14--55,15--18,15--37,15--44,16--17,16--38,17--35,17--39,19--25,19--32,19--36,20--30,20--32,20--41,21--44,21--50,22--38,22--49,22--53,23--27,23--33,23--51,24--40,24--52,25--54,26--28,27--35,28--47,29--35,30--50,31--44,32--49,34--43,34--46,36--51,36--53,37--40,37--43,38--55,39--41,40--42,42--48,45--48,45--54,46--47,46--53
0--12,0--47,0--50,1--21,1--32,1--41,2--13,2--25,2--54,3--9,3--15,3--52,4--21,4--23,4--42,5--20,5--26,5--38,6--17,6--53,6--54,7--16,7--17,7--33,8--18,8--22,8--27,9--30,9--52,10--14,10--44,10--49,11--26,11--29,11--39,12--28,12--55,13--31,13--51,14--54,14--55,15--29,15--30,16--22,16--27,17--49,18--42,18--45,19--33,19--34,19--41,20--41,20--46,21--34,22--51,23--36,23--53,24--28,24--45,24--47,25--35,25--39,26--52,27--37,28--35,29--31,30--43,31--48,32--34,32--35,33--42,36--37,36--39,37--55,38--43,38--46,40--43,40--46,40--51,44--48,44--49,45--50,47--53,48--50
0--3,0--29,0--33,1--7,1--10,1--34,2--8,2--40,2--47,3--36,3--52,4--12,4--26,4--28,5--34,5--35,5--55,6--17,6--43,6--48,7--9,7--55,8--27,8--39,9--19,9--23,10--17,10--29,11--16,11--20,11--25,12--21,12--39,13--35,13--42,13--50,14--44,14--53,14--54,15--21,15--41,15--54,16--37,16--47,17--46,18--21,18--22,18--53,19--25,19--48,20--48,20--50,22--38,22--43,23--34,23--52,24--28,24--37,24--40,25--49,26--27,26--36,27--52,28--41,29--30,30--32,30--51,31--37,31--45,31--46,32--45,32--49,33--47,33--53,35--43,36--41,38--46,38--51,39--40,42--51,42--55,44--45,44--49,50--54
0--21,0--25,0--48,1--4,1--29,1--50,2--10,2--25,2--32,3--34,3--45,3--52,4--32,4--37,5--15,5--21,5--44,6--15,6--33,6--54,7--23,7--28,7--44,8--12,8--51,8--54,9--20,9--24,9--36,10--31,10--43,11--26,11--43,11--44,12--33,12--53,13--35,13--47,13--52,14--22,14--51,14--53,15--18,16--17,16--19,16--34,17--33,17--35,18--27,18--39,19--31,19--37,20--24,20--50,21--24,22--37,22--40,23--38,23--43,25--55,26--30,26--48,27--28,27--45,28--39,29--46,29--55,30--41,30--48,31--54,32--49,34--46,35--40,36--38,36--49,38--53,39--41,40--49,41--51,42--45,42--47,42--52,46--50,47--55
0--1,0--14,0--48,1--10,1--50,2--10,2--22,2--34,3--4,3--13,3--52,4--12,4--32,5--27,5--32,5--45,6--21,6--31,6--33,7--8,7--16,7--52,8--11,8--36,9--26,9--33,9--40,10--28,11--12,11--49,12--45,13--25,13--47,14--30,14--47,15--22,15--54,15--55,16--28,16--40,17--39,17--44,17--49,18--20,18--35,18--53,19--20,19--28,19--51,20--22,21--43,21--50,23--36,23--44,23--46,24--29,24--35,24--40,25--30,25--53,26--49,26--54,27--29,27--42,29--37,30--41,31--39,31--51,32--53,33--36,34--46,34--50,35--38,37--47,37--51,38--41,38--55,39--48,41--48,42--44,42--46,43--52,43--54,45--55
