0--3,0--13,0--32,0--34,1--5,1--17,1--22,1--25,2--6,2--7,2--13,2--18,3--12,3--21,3--29,4--20,4--23,4--24,4--29,5--7,5--12,5--24,6--12,6--27,6--30,7--21,7--34,8--11,8--13,8--15,8--33,9--11,9--22,9--26,9--31,10--15,10--18,10--22,10--28,11--27,11--28,12--32,13--24,14--17,14--19,14--20,14--35,15--19,15--26,16--19,16--27,16--31,16--35,17--30,17--31,18--25,18--35,19--32,20--21,20--25,21--30,22--33,23--26,23--29,23--35,24--28,25--32,26--33,27--33,28--29,30--34,31--34
0--21,0--23,0--25,0--32,1--3,1--6,1--14,1--33,2--21,2--25,2--29,2--35,3--12,3--16,3--19,4--14,4--19,4--23,4--29,5--9,5--13,5--14,5--26,6--7,6--8,6--9,7--26,7--33,7--34,8--13,8--21,8--24,9--13,9--18,10--22,10--30,10--31,10--33,11--12,11--20,11--30,11--35,12--24,12--29,13--27,14--18,15--26,15--28,15--32,15--34,16--19,16--32,16--33,17--18,17--22,17--26,17--30,18--25,19--20,20--27,20--29,21--34,22--28,22--32,23--28,23--34,24--27,24--31,25--35,27--35,28--31,30--31
0--15,0--16,0--20,0--35,1--4,1--11,1--16,1--18,2--4,2--25,2--28,2--30,3--5,3--20,3--27,3--34,4--16,4--22,5--6,5--14,5--27,6--10,6--12,6--29,7--13,7--25,7--26,7--31,8--11,8--30,8--31,8--32,9--17,9--24,9--27,9--35,10--12,10--17,10--34,11--25,11--26,12--21,12--26,13--14,13--19,13--33,14--24,14--29,15--24,15--33,15--34,16--23,17--21,17--32,18--33,18--34,18--35,19--21,19--28,19--29,20--24,20--28,21--23,22--25,22--28,22--30,23--29,23--32,26--30,27--32,31--33,31--35
0--1,0--4,0--12,0--22,1--7,1--23,1--35,2--5,2--8,2--16,2--17,3--7,3--19,3--27,3--32,4--29,4--31,4--35,5--7,5--27,5--30,6--10,6--17,6--18,6--29,7--20,8--10,8--17,8--34,9--13,9--16,9--21,9--25,10--22,10--24,11--16,11--26,11--27,11--28,12--18,12--21,12--24,13--14,13--31,13--32,14--15,14--17,14--28,15--18,15--24,15--30,16--21,18--26,19--23,19--26,19--33,20--23,20--25,20--30,21--35,22--27,22--34,23--25,24--26,25--32,28--29,28--32,29--31,30--33,31--33,33--34,34--35
0--12,0--23,0--24,0--28,1--17,1--25,1--26,1--27,2--22,2--26,2--29,2--35,3--5,3--19,3--21,3--22,4--13,4--24,4--25,4--30,5--19,5--23,5--24,6--13,6--29,6--33,6--35,7--8,7--14,7--16,7--33,8--11,8--12,8--15,9--12,9--14,9--27,9--34,10--13,10--20,10--26,10--27,11--15,11--17,11--33,12--15,13--19,14--22,14--31,15--23,16--20,16--30,16--33,17--18,17--29,18--22,18--27,18--29,19--32,20--25,20--32,21--28,21--31,21--34,23--34,24--35,25--28,26--30,28--35,30--31,31--32,32--34
0--12,0--14,0--16,0--33,1--9,1--13,1--17,1--27,2--13,2--19,2--24,2--33,3--8,3--19,3--31,3--32,4--19,4--25,4--30,4--34,5--22,5--24,5--25,5--31,6--7,6--27,6--29,6--35,7--10,7--28,7--30,8--10,8--12,8--22,9--11,9--15,9--20,10--12,10--20,11--18,11--20,11--34,12--13,13--34,14--18,14--23,14--26,15--16,15--31,15--34,16--30,16--35,17--24,17--29,17--32,18--26,18--32,19--28,20--35,21--23,21--24,21--26,21--31,22--23,22--33,23--28,25--29,25--32,26--27,27--33,28--30,29--35
0--14,0--20,0--33,0--34,1--9,1--14,1--18,1--27,2--12,2--31,2--32,2--35,3--12,3--15,3--18,3--34,4--5,4--6,4--17,4--23,5--19,5--20,5--27,6--10,6--12,6--28,7--10,7--22,7--30,7--32,8--10,8--15,8--19,8--21,9--18,9--28,9--30,10--35,11--13,11--24,11--25,11--26,12--35,13--19,13--20,13--33,14--25,14--31,15--23,15--33,16--22,16--26,16--29,16--30,17--22,17--25,17--28,18--23,19--21,20--33,21--22,21--24,23--26,24--29,24--32,25--27,26--30,27--34,28--31,29--31,29--32,34--35
0--1,0--9,0--13,0--21,1--12,1--14,1--32,2--8,2--11,2--22,2--26,3--11,3--12,3--13,3--30,4--16,4--18,4--29,4--35,5--13,5--15,5--32,5--34,6--7,6--24,6--27,6--28,7--16,7--18,7--27,8--10,8--31,8--33,9--23,9--31,9--34,10--11,10--20,10--25,11--30,12--17,12--26,13--18,14--16,14--20,14--27,15--20,15--21,15--23,16--25,17--28,17--33,17--34,18--19,19--23,19--30,19--31,20--29,21--22,21--32,22--24,22--25,23--33,24--25,24--26,26--34,27--31,28--29,28--35,29--35,30--35,32--33
0--11,0--12,0--13,0--34,1--7,1--8,1--19,1--33,2--10,2--18,2--26,2--35,3--7,3--14,3--21,3--24,4--9,4--17,4--25,4--28,5--10,5--19,5--26,5--27,6--10,6--23,6--28,6--32,7--27,7--29,8--9,8--12,8--18,9--20,9--25,10--33,11--12,11--15,11--24,12--18,13--16,13--19,13--34,14--15,14--26,14--31,15--16,15--32,16--21,16--22,17--21,17--22,17--32,18--20,19--26,20--25,20--30,21--27,22--23,22--31,23--30,23--33,24--29,24--32,25--30,27--34,28--29,28--35,29--31,30--31,33--35,34--35
0--2,0--3,0--10,0--35,1--7,1--14,1--20,1--25,2--13,2--14,2--18,3--20,3--26,3--35,4--22,4--27,4--31,4--35,5--22,5--29,5--30,5--32,6--8,6--13,6--25,6--28,7--8,7--16,7--21,8--19,8--31,9--11,9--20,9--30,9--33,10--24,10--26,10--32,11--23,11--27,11--29,12--15,12--21,12--22,12--32,13--27,13--32,14--23,14--29,15--24,15--25,15--33,16--19,16--30,16--35,17--25,17--28,17--29,17--31,18--22,18--33,18--34,19--24,19--26,20--30,21--28,21--34,23--24,23--33,26--34,27--28,31--34
