0--5,0--6,0--11,0--14,1--6,1--10,1--12,1--21,2--4,2--8,2--15,2--17,3--4,3--9,3--12,3--23,4--10,4--13,5--14,5--20,5--22,6--11,6--18,7--8,7--12,7--18,7--21,8--10,8--15,9--11,9--16,9--20,10--22,11--22,12--17,13--16,13--18,13--21,14--16,14--17,15--19,15--22,16--20,17--19,18--23,19--20,19--23,21--23
0--2,0--4,0--10,0--13,1--9,1--11,1--14,1--16,2--3,2--6,2--9,3--4,3--8,3--22,4--19,4--23,5--11,5--20,5--21,5--23,6--12,6--17,6--19,7--12,7--15,7--17,7--19,8--10,8--18,8--19,9--13,9--14,10--15,10--16,11--17,11--18,12--13,12--15,13--21,14--16,14--18,15--20,16--23,17--21,18--22,20--22,20--23,21--22
0--2,0--5,0--6,0--8,1--8,1--10,1--12,1--18,2--3,2--12,2--22,3--12,3--14,3--21,4--9,4--13,4--21,4--23,5--8,5--9,5--22,6--14,6--20,6--23,7--11,7--13,7--15,7--17,8--16,9--18,9--23,10--19,10--20,10--21,11--15,11--17,11--21,12--16,13--14,13--22,14--18,15--17,15--19,16--17,16--20,18--23,19--20,19--22
0--6,0--15,0--16,0--22,1--3,1--12,1--16,1--21,2--7,2--8,2--13,2--18,3--10,3--15,3--17,4--11,4--14,4--18,4--23,5--9,5--11,5--12,5--21,6--7,6--9,6--23,7--10,7--11,8--19,8--22,8--23,9--13,9--20,10--16,10--17,11--12,12--15,13--14,13--22,14--16,14--19,15--17,17--18,18--20,19--20,19--21,20--23,21--22
0--2,0--6,0--7,0--23,1--3,1--6,1--20,1--22,2--7,2--13,2--19,3--5,3--21,3--22,4--9,4--10,4--13,4--21,5--9,5--11,5--17,6--15,6--21,7--16,7--17,8--10,8--11,8--14,8--23,9--12,9--14,10--11,10--20,11--22,12--18,12--19,12--23,13--14,13--15,14--15,15--20,16--17,16--18,16--19,17--19,18--21,18--23,20--22
0--8,0--10,0--13,0--17,1--2,1--3,1--7,1--8,2--12,2--15,2--22,3--15,3--18,3--20,4--7,4--8,4--11,4--23,5--13,5--16,5--17,5--21,6--7,6--13,6--20,6--22,7--11,8--19,9--14,9--16,9--18,9--23,10--11,10--17,10--20,11--13,12--14,12--20,12--21,14--19,14--22,15--19,15--21,16--19,16--23,17--18,18--22,21--23
0--14,0--19,0--21,0--22,1--10,1--15,1--21,1--23,2--11,2--14,2--18,2--20,3--12,3--16,3--18,3--23,4--10,4--16,4--20,4--22,5--12,5--14,5--15,5--17,6--10,6--15,6--16,6--20,7--9,7--13,7--17,7--20,8--10,8--11,8--13,8--17,9--13,9--14,9--21,11--12,11--18,12--13,15--19,16--23,17--22,18--19,19--23,21--22
0--7,0--14,0--15,0--21,1--3,1--4,1--16,1--18,2--9,2--11,2--14,2--16,3--13,3--15,3--17,4--7,4--19,4--22,5--8,5--11,5--15,5--23,6--9,6--10,6--11,6--13,7--15,7--21,8--13,8--16,8--22,9--14,9--16,10--17,10--18,10--19,11--20,12--17,12--18,12--22,12--23,13--20,14--17,18--23,19--21,19--23,20--21,20--22
0--7,0--12,0--19,0--22,1--3,1--5,1--19,1--20,2--8,2--11,2--13,2--20,3--7,3--19,3--22,4--5,4--13,4--21,4--22,5--15,5--20,6--14,6--16,6--17,6--23,7--12,7--21,8--10,8--14,8--17,9--13,9--16,9--17,9--18,10--17,10--20,10--23,11--15,11--19,11--23,12--13,12--18,14--15,14--21,15--16,16--18,18--23,21--22
0--7,0--17,0--19,0--21,1--8,1--13,1--19,1--20,2--3,2--12,2--16,2--23,3--8,3--10,3--15,4--9,4--16,4--21,4--22,5--7,5--10,5--13,5--14,6--14,6--18,6--22,6--23,7--12,7--13,8--18,8--19,9--17,9--18,9--23,10--13,10--18,11--12,11--14,11--20,11--21,12--17,14--23,15--16,15--19,15--20,16--22,17--20,21--22
0--12,0--17,0--19,0--20,1--8,1--16,1--17,1--21,2--9,2--12,2--15,2--23,3--5,3--11,3--15,3--17,4--5,4--10,4--19,4--22,5--8,5--10,6--7,6--10,6--14,6--16,7--13,7--21,7--23,8--9,8--14,9--11,9--23,10--18,11--13,11--19,12--15,12--17,13--19,13--22,14--15,14--16,16--18,18--20,18--21,20--22,20--23,21--22
0--1,0--2,0--8,0--18,1--6,1--16,1--18,2--9,2--12,2--15,3--7,3--10,3--19,3--20,4--5,4--6,4--7,4--17,5--6,5--8,5--12,6--9,7--14,7--23,8--9,8--23,9--22,10--15,10--16,10--21,11--13,11--14,11--15,11--17,12--18,12--21,13--19,13--20,13--22,14--16,14--18,15--21,16--20,17--19,17--22,19--20,21--23,22--23
0--12,0--18,0--19,0--22,1--7,1--8,1--14,1--18,2--7,2--9,2--17,2--20,3--9,3--13,3--16,3--19,4--6,4--15,4--16,4--17,5--6,5--9,5--12,5--13,6--8,6--17,7--20,7--21,8--15,8--21,9--20,10--12,10--16,10--21,10--23,11--14,11--18,11--20,11--23,12--13,13--22,14--17,14--18,15--19,15--22,16--23,19--22,21--23
0--4,0--8,0--15,0--18,1--3,1--8,1--11,1--20,2--4,2--11,2--13,2--19,3--4,3--10,3--19,4--9,5--8,5--11,5--12,5--17,6--13,6--16,6--20,6--21,7--10,7--12,7--14,7--20,8--12,9--16,9--18,9--21,10--21,10--22,11--19,12--16,13--19,13--23,14--15,14--22,14--23,15--17,15--18,16--22,17--18,17--23,20--21,22--23
0--3,0--7,0--9,0--14,1--5,1--15,1--17,1--18,2--4,2--8,2--17,2--23,3--5,3--19,3--22,4--11,4--13,4--22,5--9,5--18,6--7,6--20,6--21,6--23,7--9,7--11,8--12,8--13,8--19,9--19,10--11,10--13,10--20,10--21,11--15,12--18,12--21,12--22,13--19,14--16,14--17,14--22,15--16,15--20,16--17,16--23,18--23,20--21
0--1,0--3,0--11,0--22,1--12,1--14,1--15,2--4,2--11,2--14,2--19,3--13,3--18,3--22,4--10,4--11,4--19,5--7,5--9,5--15,5--22,6--10,6--13,6--18,6--21,7--9,7--15,7--17,8--10,8--16,8--19,8--20,9--14,9--16,10--20,11--16,12--13,12--17,12--21,13--23,14--15,16--21,17--18,17--20,18--23,19--22,20--23,21--23
0--6,0--12,0--22,0--23,1--2,1--5,1--7,1--11,2--13,2--18,2--19,3--6,3--7,3--17,3--23,4--5,4--10,4--15,4--21,5--10,5--14,6--14,6--18,7--11,7--15,8--9,8--10,8--11,8--19,9--13,9--19,9--20,10--14,11--22,12--20,12--21,12--22,13--21,13--23,14--16,15--16,15--23,16--17,16--21,17--18,17--19,18--20,20--22
0--9,0--11,0--14,0--22,1--6,1--10,1--16,1--23,2--3,2--12,2--17,2--19,3--6,3--11,3--12,4--7,4--18,4--19,4--21,5--9,5--10,5--19,5--23,6--10,6--16,7--11,7--14,7--15,8--10,8--15,8--20,8--22,9--15,9--20,11--13,12--16,12--17,13--16,13--17,13--18,14--20,14--22,15--20,17--21,18--21,18--23,19--22,21--23
0--6,0--8,0--16,0--23,1--2,1--3,1--21,1--22,2--5,2--6,2--13,3--8,3--15,3--23,4--7,4--10,4--11,4--14,5--14,5--19,5--21,6--11,6--17,7--14,7--16,7--19,8--11,8--12,9--18,9--19,9--20,9--21,10--12,10--20,10--22,11--14,12--13,12--15,13--15,13--22,15--18,16--22,16--23,17--18,17--20,17--21,18--23,19--20
0--11,0--16,0--21,0--23,1--8,1--16,1--17,1--18,2--13,2--16,2--18,2--20,3--7,3--14,3--15,3--20,4--8,4--11,4--17,4--18,5--7,5--14,5--18,5--23,6--10,6--14,6--16,6--19,7--21,7--22,8--9,8--15,9--10,9--19,9--20,10--13,10--22,11--17,11--19,12--14,12--20,12--21,12--23,13--17,13--22,15--19,15--23,21--22
0--1,0--7,0--13,0--18,1--2,1--10,1--23,2--4,2--16,2--22,3--5,3--8,3--9,3--14,4--15,4--17,4--21,5--9,5--12,5--21,6--11,6--15,6--16,6--19,7--12,7--13,7--22,8--12,8--16,8--17,9--17,9--19,10--12,10--14,10--22,11--13,11--15,11--23,13--21,14--19,14--22,15--20,16--17,18--20,18--21,18--23,19--20,20--23
0--3,0--11,0--15,0--16,1--2,1--6,1--21,1--23,2--17,2--20,2--21,3--6,3--16,3--22,4--11,4--12,4--18,4--23,5--7,5--10,5--18,5--22,6--12,6--19,7--9,7--10,7--22,8--11,8--13,8--14,8--19,9--12,9--19,9--22,10--15,10--19,11--18,12--13,13--14,13--17,14--20,14--23,15--16,15--17,16--23,17--21,18--20,20--21
0--8,0--11,0--16,0--17,1--2,1--13,1--14,1--15,2--14,2--18,2--22,3--7,3--9,3--20,3--21,4--6,4--10,4--12,4--16,5--6,5--9,5--14,5--15,6--7,6--18,7--18,7--23,8--11,8--12,8--13,9--19,9--23,10--20,10--21,10--23,11--16,11--19,12--16,12--17,13--15,13--20,14--17,15--19,17--19,18--22,20--22,21--22,21--23
0--1,0--3,0--7,0--10,1--11,1--15,1--18,2--3,2--4,2--12,2--21,3--22,3--23,4--7,4--10,4--19,5--11,5--14,5--16,5--22,6--8,6--13,6--15,6--19,7--16,7--21,8--9,8--14,8--19,9--14,9--17,9--20,10--12,10--20,11--16,11--17,12--18,12--23,13--14,13--15,13--22,15--20,16--18,17--19,17--23,18--23,20--21,21--22
